,RET,T,STD,MDD,ACC,SHARP,R2VaR,R2CVaR
2005,0.11863174392938847,3.3827986661913965,0.0224425886993227,0.009232932171312972,1.0529591923315504,3.9492656180106045,-0.1279746574242552,-1.1607105699477045
2006,0.09981492797120617,3.4297811095031814,0.02718152581254601,0.021321719042900856,1.095256845764258,2.5684697927804376,-0.07420670894407838,-1.3301726111100345
2007,0.04473342314091111,1.2585849736985981,0.034467774191118024,0.02940383777343411,1.042920736875962,0.4274550210064843,-0.032861588486006045,-1.8860210125795784
2008,-0.044281504479467104,-0.548874470286974,0.07613697032789689,0.1232852744778857,0.9567496770865515,-0.9756298964821045,0.010261571552326708,0.43487428399727757
2009,0.10777676485837295,1.9738486199175778,0.051593687942242956,0.030266672048498432,1.1041830323198984,1.5074860503370275,-0.050517821038963705,-1.3919368687152391
2010,0.058609586340214515,1.45972807155354,0.03866270031800219,0.02995575185147733,1.0562196483766415,0.7399790005586669,-0.04089875106661321,-1.452643494961663
2011,-0.006340023738240164,-0.11743009296836422,0.04479474225910766,0.04590170754157001,0.9938606277300039,-0.8112564534479829,0.0032724336302736787,0.1762771080334559
2012,0.06131346468563703,2.0798121668182605,0.028229383234938697,0.011445012327905695,1.0590602935742608,1.1092507556764917,-0.047180605704362805,-1.450288225702471
2013,0.007958811402607013,0.2734793487190912,0.029671934431602254,0.027797899416756335,1.0075149980803073,-0.7428295127909793,-0.007736626464540646,-0.5945307572001333
2014,0.09308911095072125,3.0700539531186313,0.028665039563760597,0.018648277550323604,1.0903898551532596,2.2009078623593057,-0.056110216967835,-1.3221830431942083
2015,0.07168622126155677,2.2132751460023177,0.030933692666814533,0.022636797459617816,1.0693333668883247,1.3475992572421682,-0.056602790202892626,-1.3002473367161287
2016,0.04321244025074078,1.6603466974814696,0.025210510736360242,0.03184334906726917,1.0418123351644448,0.5240845926887526,-0.048099454015478556,-1.4045180537848858
2017,0.04346974435997364,2.16901446572915,0.01935074094084856,0.016983626611515278,1.0420611355479135,0.6960841655184171,-0.05043526071840245,-1.3627478672164814
2018,0.05157057331184989,2.3592198377382707,0.02098046283037684,0.01438607245536583,1.049683766341497,1.028126666520371,-0.05799140157627507,-1.3645262484685021
