,RET,T,STD,MDD,ACC,SHARP,R2VaR,R2CVaR
2005,0.2272636215840922,3.5043150090066173,0.03964475495149024,0.011865973440680714,1.0988531319591353,4.97578107937522,-0.12331405540228507,-1.1570926212571309
2006,0.1123774914352973,3.1319761148203025,0.03336491262637373,0.03043171504047107,1.1072182806890005,2.4689856783914053,-0.0759236176717637,-1.2214334894945034
2007,0.10636932706319069,1.8554946505485694,0.05405741183958895,0.030906093622373357,1.1019402798747102,1.4127447923295064,-0.04306036428355944,-1.4296983397866956
2008,-0.03658488897974943,-0.5334815865962508,0.06497572124355643,0.11431529861580617,0.9642704273280888,-1.0247656771698026,0.011583774985717717,0.45585493035229663
2009,0.10187753269905864,2.1836258198887832,0.044072923438322004,0.02012785626471095,1.0984891253538445,1.6308773526141938,-0.04535932761845389,-1.4208545015529799
2010,0.04489867161448102,1.5909487972435226,0.02722714125303624,0.026743327070875903,1.0430791520332048,0.5471992625307145,-0.04776137028731369,-1.4416319165496456
2011,0.03053486561454344,0.8762572134265124,0.03437086393440158,0.030456523755227453,1.0295513231721867,0.015561599369869077,-0.020250241547391346,-3.5548980937826067
2012,0.047267150466449914,2.3561810196672845,0.019287479452742028,0.006854248325055958,1.045541179786165,0.89525178801915,-0.05008721155650718,-1.3707823963419536
2013,0.00925852247695591,0.4518325761972987,0.020219713775082002,0.024473690270690254,1.0087419185749111,-1.0258047049412287,-0.012133399730774553,-4.178378159636651
2014,0.10877229154755041,4.083894798334828,0.024958640297041163,0.010248641355639972,1.1055967237227702,3.156113097911381,-0.09126022760903717,-1.17746222516969
2015,0.06396850835426315,1.870274518898649,0.032843115949636084,0.030138672448777243,1.0618762123972547,1.03426570141374,-0.05003911594863855,-1.329886437991904
2016,0.05537364698486802,1.8609177112602828,0.028659093798653924,0.028394070507107922,1.0535695010601476,0.8853611060814416,-0.02958192070068733,-1.8390402916519424
2017,0.056748759980949526,1.9674701717408978,0.027744339735836662,0.013454755933008477,1.054898656088449,0.9641159326779304,-0.045490365288536276,-1.4109818436089765
2018,0.010193197914122765,0.25858243201373093,0.041738515550648156,0.05031204754554865,1.0098273722785642,-0.4745449574468552,-0.005604272116164385,-0.7439040288171949
